clone, divRt, movRt, livePop, historicPop, rA, hA, generations, seed, nInitCell, w, h, 
fast_0, 0.15, 0.2, 0, 2, 0.5, 0.0, 100, 54907, 4, 50, 50, 
fast_1, 0.15, 0.2, 0, 1, 0.5, 0.0, 100, 54907, 4, 50, 50, 
fast_2, 0.15, 0.2, 0, 2, 0.5, 0.0, 100, 54907, 4, 50, 50, 
fast_3, 0.15, 0.2, 0, 2, 0.5, 0.0, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 7, 0.5, 0.0, 100, 54907, 4, 50, 50, 
fast_0, 0.15, 0.2, 0, 2, 0.5, 0.0, 200, 54907, 4, 50, 50, 
fast_1, 0.15, 0.2, 0, 1, 0.5, 0.0, 200, 54907, 4, 50, 50, 
fast_2, 0.15, 0.2, 0, 2, 0.5, 0.0, 200, 54907, 4, 50, 50, 
fast_3, 0.15, 0.2, 0, 2, 0.5, 0.0, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 7, 0.5, 0.0, 200, 54907, 4, 50, 50, 
fast_0, 0.15, 0.2, 0, 1, 0.5, 0.05, 100, 54907, 4, 50, 50, 
fast_1, 0.15, 0.2, 0, 1, 0.5, 0.05, 100, 54907, 4, 50, 50, 
fast_2, 0.15, 0.2, 0, 1, 0.5, 0.05, 100, 54907, 4, 50, 50, 
fast_3, 0.15, 0.2, 0, 1, 0.5, 0.05, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.5, 0.05, 100, 54907, 4, 50, 50, 
fast_0, 0.15, 0.2, 0, 1, 0.5, 0.05, 200, 54907, 4, 50, 50, 
fast_1, 0.15, 0.2, 0, 1, 0.5, 0.05, 200, 54907, 4, 50, 50, 
fast_2, 0.15, 0.2, 0, 1, 0.5, 0.05, 200, 54907, 4, 50, 50, 
fast_3, 0.15, 0.2, 0, 1, 0.5, 0.05, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.5, 0.05, 200, 54907, 4, 50, 50, 
fast_0, 0.15, 0.2, 0, 2, 0.5, 0.1, 100, 54907, 4, 50, 50, 
fast_1, 0.15, 0.2, 0, 1, 0.5, 0.1, 100, 54907, 4, 50, 50, 
fast_2, 0.15, 0.2, 0, 1, 0.5, 0.1, 100, 54907, 4, 50, 50, 
fast_3, 0.15, 0.2, 0, 1, 0.5, 0.1, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.5, 0.1, 100, 54907, 4, 50, 50, 
fast_0, 0.15, 0.2, 0, 2, 0.5, 0.1, 200, 54907, 4, 50, 50, 
fast_1, 0.15, 0.2, 0, 1, 0.5, 0.1, 200, 54907, 4, 50, 50, 
fast_2, 0.15, 0.2, 0, 1, 0.5, 0.1, 200, 54907, 4, 50, 50, 
fast_3, 0.15, 0.2, 0, 1, 0.5, 0.1, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.5, 0.1, 200, 54907, 4, 50, 50, 
fast_0, 0.15, 0.2, 0, 1, 0.5, 0.15000000000000002, 100, 54907, 4, 50, 50, 
fast_1, 0.15, 0.2, 0, 4, 0.5, 0.15000000000000002, 100, 54907, 4, 50, 50, 
fast_2, 0.15, 0.2, 979, 1455, 0.5, 0.15000000000000002, 100, 54907, 4, 50, 50, 
fast_3, 0.15, 0.2, 0, 1, 0.5, 0.15000000000000002, 100, 54907, 4, 50, 50, 
all, -1, -1, 979, 1461, 0.5, 0.15000000000000002, 100, 54907, 4, 50, 50, 
fast_0, 0.15, 0.2, 0, 1, 0.5, 0.15000000000000002, 200, 54907, 4, 50, 50, 
fast_1, 0.15, 0.2, 0, 4, 0.5, 0.15000000000000002, 200, 54907, 4, 50, 50, 
fast_2, 0.15, 0.2, 1521, 8944, 0.5, 0.15000000000000002, 200, 54907, 4, 50, 50, 
fast_3, 0.15, 0.2, 0, 1, 0.5, 0.15000000000000002, 200, 54907, 4, 50, 50, 
all, -1, -1, 1521, 8950, 0.5, 0.15000000000000002, 200, 54907, 4, 50, 50, 
fast_0, 0.15, 0.2, 0, 2, 0.5, 0.2, 100, 54907, 4, 50, 50, 
fast_1, 0.15, 0.2, 0, 1, 0.5, 0.2, 100, 54907, 4, 50, 50, 
fast_2, 0.15, 0.2, 0, 1, 0.5, 0.2, 100, 54907, 4, 50, 50, 
fast_3, 0.15, 0.2, 0, 2, 0.5, 0.2, 100, 54907, 4, 50, 50, 
