clone, livePop, historicPop, divRt, movRt, rA, hA, generations, seed, nInitCell, w, h, 
null, 0, 2, 0.1, 0.0, 0.5, 0.0, 100, 54907, 1, 50, 50, 
null, 0, 2, 0.1, 0.0, 0.5, 0.0, 100, 54907, 1, 50, 50, 
null, 0, 2, 0.1, 0.0, 0.5, 0.0, 200, 54907, 1, 50, 50, 
null, 0, 2, 0.1, 0.0, 0.5, 0.0, 200, 54907, 1, 50, 50, 
null, 0, 1, 0.1, 0.0, 0.5, 0.05, 100, 54907, 1, 50, 50, 
null, 0, 1, 0.1, 0.0, 0.5, 0.05, 100, 54907, 1, 50, 50, 
null, 0, 1, 0.1, 0.0, 0.5, 0.05, 200, 54907, 1, 50, 50, 
null, 0, 1, 0.1, 0.0, 0.5, 0.05, 200, 54907, 1, 50, 50, 
null, 0, 2, 0.1, 0.0, 0.5, 0.1, 100, 54907, 1, 50, 50, 
null, 0, 2, 0.1, 0.0, 0.5, 0.1, 100, 54907, 1, 50, 50, 
null, 0, 2, 0.1, 0.0, 0.5, 0.1, 200, 54907, 1, 50, 50, 
null, 0, 2, 0.1, 0.0, 0.5, 0.1, 200, 54907, 1, 50, 50, 
null, 0, 2, 0.1, 0.0, 0.5, 0.15000000000000002, 100, 54907, 1, 50, 50, 
null, 0, 2, 0.1, 0.0, 0.5, 0.15000000000000002, 100, 54907, 1, 50, 50, 
null, 0, 2, 0.1, 0.0, 0.5, 0.15000000000000002, 200, 54907, 1, 50, 50, 
null, 0, 2, 0.1, 0.0, 0.5, 0.15000000000000002, 200, 54907, 1, 50, 50, 
null, 0, 1, 0.1, 0.0, 0.5, 0.2, 100, 54907, 1, 50, 50, 
null, 0, 1, 0.1, 0.0, 0.5, 0.2, 100, 54907, 1, 50, 50, 
null, 0, 1, 0.1, 0.0, 0.5, 0.2, 200, 54907, 1, 50, 50, 
null, 0, 1, 0.1, 0.0, 0.5, 0.2, 200, 54907, 1, 50, 50, 
null, 0, 1, 0.1, 0.0, 0.5, 0.25, 100, 54907, 1, 50, 50, 
null, 0, 1, 0.1, 0.0, 0.5, 0.25, 100, 54907, 1, 50, 50, 
null, 0, 1, 0.1, 0.0, 0.5, 0.25, 200, 54907, 1, 50, 50, 
